Index,Start Time,End Time,Query Granularity,RNS SubNetwork,RNC Managed NE,RNC Managed NE Name,Location Name,CS Traffic (Erl)_VNM,PS Traffic (GB),TEMP1_VNM,Average HSDPA User_VNM,CS Att_VNM,CS Cong_VNM,CS CR_VNM,PS Att_VNM,PS Cong_VNM,PS CR_VNM,CS RAB Att_VNM_2,TEMP2_VNM,TEMP3_VNM,PS RAB Att_VNM_2,TEMP4_VNM,TEMP5_VNM,CS RRC Att_VNM,CS RRC Succ_VNM,TEMP6_VNM,TEMP7_VNM,CS RAB Att_VNM,CS RAB Succ_VNM,CS CSSR_VNM,PS RRC Att_VNM,PS RRC Succ_VNM,TEMP8_VNM,TEMP9_VNM,PS RAB Att_VNM,PS RAB Succ_VNM,PS CSSR_VNM,CS Call Att_VNM,CS Call Drop_VNM,CS CDR_VNM,PS Call Att_HSDPA_VNM,PS Call Drop_HSDPA_VNM,PS CDR_HSDPA_VNM,PS Call Att_R99_VNM,PS Call Drop_R99_VNM,PS CDR_R99_VNM,TEMP10_VNM,TEMP11_VNM,TEMP12_VNM,CS Soft HO Att_VNM,CS Soft HO Succ_VNM,CS Soft HOSR_VNM,PS Soft HO Att_VNM,PS Soft HO Succ_VNM,PS Soft HOSR_VNM,CS Hard HO Att_VNM,CS Hard HO Succ_VNM,CS Hard HOSR_VNM,PS Hard HO Att_VNM,PS Hard HO Succ_VNM,PS Hard HOSR_VNM,CS InterRAT HO Att_VNM,CS InterRAT HO Succ_VNM,CS InterRAT HOSR_VNM,PS InterRAT HO Att_VNM,PS InterRAT HO Succ_VNM,PS InterRAT HOSR_VNM,HSDPA User Throughput_VNM_Num,HSDPA User Throughput_VNM_Den,HSDPA User Throughput_VNM,HSUPA User Throughput_VNM_Num,HSUPA User Throughput_VNM_Den,HSUPA User Throughput_VNM,RTWP_VNM_Num,RTWP_VNM_Den,RTWP_VNM
1,2025-07-16 00:00:00,2025-07-17 00:00:00,1Day(s),101,101,HNRZ01(101),,16.2958,173.4102,0,388.9424,920,0,0.0,64810,0,0.0,920,0,0,64725,0,0,728,720,0,0,920,920,98.9011,65402,65113,0,0,64725,64410,99.0736,913,0,0.0,215110,2916,1.3556,280611,881,0.314,0,0,0,4944,4944,100.0,225238,225235,99.9987,0,0,0.0,0,0,0,0,0,0,0,0,0,1299226254,507247,2561.3241,121818690,483500,251.9515,-131245934.5,1223981,-107.2287
2,2025-07-16 00:00:00,2025-07-17 00:00:00,1Day(s),102,102,HNRZ02(102),,54.0272,561.2298,0,1544.6871,3090,0,0.0,209251,0,0.0,3089,0,0,208601,0,0,2898,2892,0,0,3089,3089,99.793,116229,115429,0,0,208601,208091,99.0689,2903,2,0.0689,686040,6140,0.895,604126,759,0.1256,0,0,0,23485,23485,100.0,1507278,1507238,99.9973,190,188,98.9474,4,4,100,0,0,0,0,0,0,4028583533,1832628,2198.2538,459621977,1650999,278.3901,-434624733.3,4084756,-106.4016
3,2025-07-17 00:00:00,2025-07-18 00:00:00,1Day(s),101,101,HNRZ01(101),,14.07,185.9324,0,426.8161,798,0,0.0,71885,0,0.0,798,0,0,71775,0,0,662,657,0,0,798,797,99.1203,71816,71586,0,0,71775,71424,99.1923,792,3,0.3788,234149,3034,1.2958,299390,864,0.2886,0,0,0,3913,3913,100.0,242258,242254,99.9983,0,0,0.0,0,0,0,0,0,0,0,0,0,1382755316,576857,2397.0465,140153206,557724,251.2946,-132004281.8,1234706,-106.9115
4,2025-07-17 00:00:00,2025-07-18 00:00:00,1Day(s),102,102,HNRZ02(102),,50.3536,594.906,0,1595.0833,3162,0,0.0,216598,0,0.0,3162,0,0,215899,0,0,2843,2840,0,0,3162,3158,99.7681,121558,120580,0,0,215899,215333,98.9354,3000,2,0.0667,698311,7071,1.0126,612920,927,0.1512,0,0,0,19005,19005,100.0,1528518,1528450,99.9956,67,64,95.5224,0,0,0,0,0,0,0,0,0,4238362776,1922435,2204.6838,504925315,1734073,291.1788,-434653939.7,4088977,-106.2989
5,2025-07-18 00:00:00,2025-07-19 00:00:00,1Day(s),101,101,HNRZ01(101),,17.1511,185.7963,0,436.5589,956,0,0.0,72902,0,0.0,956,0,0,72791,0,0,762,756,0,0,956,956,99.2126,73199,72919,0,0,72791,72430,99.1234,950,0,0.0,237810,3411,1.4343,306850,976,0.3181,0,0,0,5442,5442,100.0,255577,255572,99.998,0,0,0.0,0,0,0,0,0,0,0,0,0,1368175845,579770,2359.857,142821941,553432,258.0657,-132005063.5,1234767,-106.9069
6,2025-07-18 00:00:00,2025-07-19 00:00:00,1Day(s),102,102,HNRZ02(102),,46.4081,574.4594,0,1601.3264,2915,0,0.0,210097,0,0.0,2915,0,0,209480,0,0,2602,2599,0,0,2915,2915,99.8847,124762,123998,0,0,209480,208959,99.1404,2751,1,0.0364,702303,7019,0.9994,619126,892,0.1441,0,0,0,17812,17812,100.0,1631523,1631442,99.995,67,66,98.5075,0,0,0,0,0,0,0,0,0,4013196462,1899614,2112.6376,519159561,1729821,300.1231,-434810950.9,4093251,-106.2263
7,2025-07-19 00:00:00,2025-07-20 00:00:00,1Day(s),101,101,HNRZ01(101),,14.1717,190.5544,0,445.134,843,0,0.0,69375,0,0.0,843,0,0,69280,0,0,699,688,0,0,843,841,98.1928,69538,69235,0,0,69280,68908,99.0297,830,0,0.0,230612,3815,1.6543,297293,887,0.2984,0,0,0,3650,3650,100.0,248744,248739,99.998,0,0,0.0,0,0,0,0,0,0,0,0,0,1424593972,603840,2359.2213,139109936,577462,240.8988,-128844676.5,1200684,-107.3094
8,2025-07-19 00:00:00,2025-07-20 00:00:00,1Day(s),102,102,HNRZ02(102),,53.0767,561.86,0,1605.9468,3256,0,0.0,226268,2,0.0009,3256,0,0,225533,0,0,2877,2872,0,0,3256,3255,99.7955,122750,121969,0,0,225533,224908,99.0884,3054,4,0.131,728995,7386,1.0132,646787,1008,0.1558,0,0,0,22122,22122,100.0,1751799,1751686,99.9935,99,97,97.9798,1,1,100,0,0,0,0,0,0,3950581599,1879871,2101.5166,494661224,1664017,297.2692,-434925145.0,4093423,-106.2497
9,2025-07-20 00:00:00,2025-07-21 00:00:00,1Day(s),101,101,HNRZ01(101),,14.3811,183.4084,0,425.9731,934,0,0.0,69408,0,0.0,934,0,0,69285,0,0,669,664,0,0,934,934,99.2526,69646,69452,0,0,69285,68917,99.1918,915,1,0.1093,227927,3087,1.3544,293481,832,0.2835,0,0,0,4323,4323,100.0,236679,236673,99.9975,0,0,0.0,0,0,0,0,0,0,0,0,0,1379542910,565542,2439.3262,129845332,547978,236.9533,-132073150.2,1233538,-107.0686
10,2025-07-20 00:00:00,2025-07-21 00:00:00,1Day(s),102,102,HNRZ02(102),,53.6244,568.9162,0,1605.1471,2864,1,0.0349,215144,0,0.0,2864,0,0,214569,0,0,2524,2522,0,0,2864,2859,99.7463,122530,121765,0,0,214569,213980,99.1029,2666,1,0.0375,706049,6850,0.9702,628142,876,0.1395,0,0,0,21601,21601,100.0,1715181,1715063,99.9931,54,51,94.4444,3,3,100,0,0,0,0,0,0,4017831992,1878936,2138.3545,491197488,1703437,288.3567,-435217071.3,4093293,-106.3244
