Date,VoLTE Traffic (Erl),VoLTE RAB Att QCI5,VoLTE RAB Succ QCI5,VoLTE HO Ongoing QCI5,VoLTE CSSR QCI5,VoLTE RAB Att QCI1,VoLTE RAB Succ QCI1,VoLTE HO Ongoing QCI1,VoLTE CSSR QCI1,VoLTE Call Att QCI5,VoLTE Call Drop QCI5,VoLTE CDR QCI5,VoLTE Call Att QCI1,VoLTE Call Drop QCI1,VoLTE CDR QCI1,pmHoPrepAttSrvcc,pmHoPrepSuccSrvcc,pmHoExeAttSrvcc,pmHoExeSuccSrvcc,SRVCC HOSR UTRAN
2025-07-17,9.9975,225602,225070,217,99.8602391463496,856,838,15.0,99.6432818073722,200057,1638,0.818766651504321,806,6,0.744416873449132,712,58,58,31,4.35393258426966
2025-07-18,7.25305555555556,226627,226053,268,99.8648165082899,843,838,4.0,99.880810488677,202204,1658,0.819963996755752,784,8,1.02040816326531,114,80,80,52,45.6140350877193
2025-07-19,5.54722222222222,211695,211158,287,99.8817452508893,631,631,,100.0,187668,1138,0.606390007886267,592,0,0.0,103,50,50,38,36.8932038834951
2025-07-20,4.76333333333333,219000,218580,207,99.9026477081077,581,581,,100.0,192338,999,0.519398142852687,555,2,0.36036036036036,322,49,49,24,7.45341614906832
2025-07-21,10.0325,237570,236948,212,99.8272651437912,796,788,8.0,100.0,208149,1321,0.634641530826475,756,2,0.264550264550265,775,62,62,33,4.25806451612903
2025-07-22,10.1955555555556,226675,226011,237,99.8114274105936,777,775,1.0,99.8711340206186,201538,1226,0.608322003790848,733,9,1.22783083219645,299,73,73,38,12.7090301003344
2025-07-23,17.1930555555556,257215,256536,225,99.8233394295498,1153,1150,3.0,100.0,230908,1282,0.555199473383339,1118,7,0.626118067978533,794,63,63,29,3.65239294710327
2025-07-24,8.07,277438,276821,257,99.8701209678874,844,843,1.0,100.0,250014,1373,0.549169246522195,808,4,0.495049504950495,233,48,48,34,14.5922746781116
2025-07-25,7.26444444444444,275348,274707,296,99.8745691723747,759,759,,100.0,247026,1268,0.513306291645414,732,3,0.409836065573771,249,56,56,26,10.4417670682731
2025-07-26,4.77388888888889,255135,254573,307,99.8999325034926,653,653,,100.0,231441,1075,0.464481228477236,622,2,0.321543408360129,87,66,66,32,36.7816091954023
2025-07-27,7.12416666666667,260748,260179,316,99.902853719973,515,515,,100.0,236152,1178,0.498831261221586,494,1,0.202429149797571,376,41,41,19,5.0531914893617
2025-07-28,10.7741666666667,280182,279430,303,99.8395735299897,887,885,1.0,99.8871331828442,253814,1628,0.64141457918003,840,4,0.476190476190476,2214,72,72,43,1.94218608852755
2025-07-29,9.03166666666667,281756,280876,381,99.822656597068,1005,994,10.0,99.8994974874372,251830,2073,0.823174363658023,959,19,1.98123044838373,475,62,62,35,7.36842105263158
2025-07-30,9.08305555555556,278982,278316,261,99.8546934030805,974,972,2.0,100.0,252177,1801,0.714180912612966,936,3,0.320512820512821,459,60,60,35,7.62527233115468
2025-07-31,10.1152777777778,275094,274432,291,99.8649941958421,1057,1054,,99.7161778618732,249312,1553,0.62291426004364,1021,6,0.587659157688541,520,56,56,32,6.15384615384615
2025-08-01,8.75555555555556,272599,272000,286,99.8850587375557,987,985,,99.7973657548126,241136,1368,0.567314710370911,964,3,0.311203319502075,173,34,34,21,12.1387283236994
2025-08-02,5.97722222222222,263941,263091,289,99.7872195166356,751,749,1.0,99.8666666666667,240269,2254,0.938115195884613,727,8,1.10041265474553,118,42,42,21,17.7966101694915
2025-08-03,5.78805555555556,238418,237711,262,99.8131476847109,588,587,1.0,100.0,214568,1860,0.866858058983632,561,9,1.60427807486631,80,52,52,26,32.5
2025-08-04,7.80805555555556,274661,273916,277,99.8294361187241,965,963,,99.7927461139896,248806,1944,0.781331639912221,927,3,0.323624595469256,141,62,62,36,25.531914893617
2025-08-05,7.56944444444445,284596,283312,274,99.6447689591379,1088,1077,9.0,99.8146431881372,256703,1921,0.74833562521669,1027,8,0.778967867575463,180,86,86,50,27.7777777777778
2025-08-06,7.69361111111111,279756,278613,316,99.704050959061,918,911,2.0,99.4541484716157,246720,1801,0.729977302204929,857,12,1.4002333722287,166,78,78,55,33.1325301204819
